title,allpoints_number,price,description,specifications,oem_names_numbers
"103-1024 - GASKET,BLOWER BOX",103-1024,71.00,"
LENGTH: 6"" | 152 mm
WIDTH: 6"" | 152 mm
","


Ship Weight : 0.09 lbs.

","{'Ultrafryer': ['22870', 'ULTR22870']}"
"ULTRAFRYER - 12C813-C - GASKET,APRON (4"" X 36"")",103-1072,467.00,"
MATERIAL: SILICONE
LENGTH: 36"" | 914 mm
WIDTH: 4"" | 102 mm
","


Ship Weight : 7.38 lbs.

","{'Ultrafryer': ['12C813', '12C813-C', '20A014', 'ULTR12C813', 'ULTR20A014']}"
"103-1075 - GASKET,DRAIN VALVE",103-1075,110.00,"
COLOR: ORANGE
MATERIAL: NEOPRENE
LENGTH: 5 1/2"" | 140 mm
WIDTH: 5"" | 127 mm
INCLUDES: CENTER CUT OUT
THICKNESS: 1/2"" | 13 mm
CENTERS: 4 7/8 X 4"" | 124 X 102 mm
","


Ship Weight : 0.34 lbs.

","{'Ultrafryer': ['22A119', 'ULTR22A119']}"
"103-1154 - GASKET,DRAIN (NEOPREN E)",103-1154,81.00,"
COLOR: ORANGE
MATERIAL: NEOPRENE
LENGTH: 5 11/16"" | 144 mm
WIDTH: 5"" | 127 mm | 2 11/16"" CENTER HOLE | 68 mm CENTER
HOLE
THICKNESS: 1/8"" | 3 mm
","


Ship Weight : 0.16 lbs.

","{'Ultrafryer': ['22768', 'ULTR22768']}"
"196-1084 - SEAL,PUMP (KIT, HAIGHT)",196-1084,105.84,"
COLOR: ORANGE
WEIGHT: .06 lb
","


Ship Weight : 0.06 lbs.

","{'Dean': ['816-0728', '8160728'], 'Frymaster': ['816-0728', '8160728', 'FM816-0728', 'FM8160728'], ""Magikitch'N"": ['60134901'], 'Pitco': ['60134901']}"
"VITA-MIX - 015107 - GASKET,ISOLATION, RUBBER",212-1050,46.65,"
COLOR: BLACK
MATERIAL: RUBBER
WIDTH: 8 1/4"" | 210 mm
DEPTH: 8 5/8"" | 219 mm
","


Ship Weight : 0.75 lbs.

","{'Vita-Mix': ['015107', '15107', 'VM015107', 'VM15107']}"
236-1000 - GASKET KIT (W/CAULK),236-1000,156.97,"
MATERIAL: SILICONE
LENGTH: 154"" GASKET | 3912 mm GASKET
INCLUDES: GASKET AND SEALANT
TYPE: DART STYLE
","


Ship Weight : 1.11 lbs.

","{'Nu-Vu': ['254 1001', '254-1001'], 'Star Mfg': ['254 1001', '254-1001', '254-1001(OEM#)'], 'Stero': ['NUV254 1001', 'NUV254-1001(OEM#)']}"
DORMONT - B50 - QUICK DISCONNECT DEVICE,26-1262,99.06,"
GAS QUICK DISCONNECT ASSEMBLY, 1/2"" FPT
FEMALE END WILL SHUT OFF GAS WHEN SEPERATED.
FEMALE END FROM GAS SUPPLY,
MALE END TO APPLIANCE SIDE ( HAS THERMAL SHUTOFF FEATURE)
TEMPS ABOVE 350 DEGREES F ACTIVATE SAFETY THERMAL RING.
B50
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.9 lbs.

","{'Dormont': ['B-50', 'B50'], 'Nieco': ['9165-B', '9165-C'], 'T&S Brass': ['AG-5C']}"
DORMONT - B75 - QUICK DISCONNECT DEVICE,26-1263,137.83,"
GAS QUICK DISCONNECT ASSEMBLY, [ SIZE 3/4"" FPT ]
FEMALE END WILL SHUT OFF GAS WHEN SEPERATED.
FEMALE END FROM GAS SUPPLY,
MALE END TO APPLIANCE SIDE ( HAS THERMAL SHUTOFF FEATURE)
TEMPS ABOVE 350 DEGREES F ACTIVATE SAFETY THERMAL RING.
MFG DORMONT
NIECO BROILER
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 1.5 lbs.

","{'Dormont': ['B-75', 'B75'], 'Nieco': ['9124-B', '9124-BC', '9124-C']}"
DORMONT - B100 - QUICK DISCONNECT DEVICE,26-1264,186.64,"
GAS QUICK DISCONNECT ASSEMBLY, 1"" FPT
FEMALE END WILL SHUT OFF GAS WHEN SEPERATED.
FEMALE END FROM GAS SUPPLY,
MALE END TO APPLIANCE SIDE ( HAS THERMAL SHUTOFF FEATURE)
TEMPS ABOVE 350 DEGREES F ACTIVATE SAFETY THERMAL RING.
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 2.3 lbs.

","{'Dormont': ['B-100', 'B100', 'VND#B100', 'VND-B100']}"
